league,season,team,game,date,time,result,GF,GA,opponent,xG,xGA,Poss,Formation,"('Performance', 'SoTA')","('Performance', 'GA')","('Performance', 'Saves')","('Performance', 'Save%')","('Performance', 'CS')","('Performance', 'PSxG')","('Performance', 'PSxG+/-')","('Penalty Kicks', 'PKatt')","('Penalty Kicks', 'PKA')","('Penalty Kicks', 'PKsv')","('Penalty Kicks', 'PKm')","('Launched', 'Cmp')","('Launched', 'Att')","('Launched', 'Cmp%')","('Passes', 'Att (GK)')","('Passes', 'Thr')","('Passes', 'Launch%')","('Passes', 'AvgLen')","('Goal Kicks', 'Att')","('Goal Kicks', 'Launch%')","('Goal Kicks', 'AvgLen')","('Crosses', 'Opp')","('Crosses', 'Stp')","('Crosses', 'Stp%')","('Sweeper', '#OPA')","('Sweeper', 'AvgDist')","('Standard', 'Gls')","('Standard', 'Sh')","('Standard', 'SoT')","('Standard', 'SoT%')","('Standard', 'G/Sh')","('Standard', 'G/SoT')","('Standard', 'Dist')","('Standard', 'FK')","('Standard', 'PK')","('Standard', 'PKatt')","('Expected', 'xG')","('Expected', 'npxG')","('Expected', 'npxG/Sh')","('Expected', 'G-xG')","('Expected', 'np:G-xG')","('Total', 'Cmp')","('Total', 'Att')","('Total', 'Cmp%')","('Total', 'TotDist')","('Total', 'PrgDist')","('Short', 'Cmp')","('Short', 'Att')","('Short', 'Cmp%')","('Medium', 'Cmp')","('Medium', 'Att')","('Medium', 'Cmp%')","('Long', 'Cmp')","('Long', 'Att')","('Long', 'Cmp%')","('Ast', '')","('xAG', '')","('xA', '')","('KP', '')","('1/3', '')","('PPA', '')","('CrsPA', '')","('PrgP', '')","('Att', '')","('Pass Types', 'Live')","('Pass Types', 'Dead')","('Pass Types', 'FK')","('Pass Types', 'TB')","('Pass Types', 'Sw')","('Pass Types', 'Crs')","('Pass Types', 'TI')","('Pass Types', 'CK')","('Corner Kicks', 'In')","('Corner Kicks', 'Out')","('Corner Kicks', 'Str')","('Outcomes', 'Cmp')","('Outcomes', 'Off')","('Outcomes', 'Blocks')","('SCA Types', 'SCA')","('SCA Types', 'PassLive')","('SCA Types', 'PassDead')","('SCA Types', 'TO')","('SCA Types', 'Sh')","('SCA Types', 'Fld')","('SCA Types', 'Def')","('GCA Types', 'GCA')","('GCA Types', 'PassLive')","('GCA Types', 'PassDead')","('GCA Types', 'TO')","('GCA Types', 'Sh')","('GCA Types', 'Fld')","('GCA Types', 'Def')","('Tackles', 'Tkl')","('Tackles', 'TklW')","('Tackles', 'Def 3rd')","('Tackles', 'Mid 3rd')","('Tackles', 'Att 3rd')","('Challenges', 'Tkl')","('Challenges', 'Att')","('Challenges', 'Tkl%')","('Challenges', 'Lost')","('Blocks', 'Blocks')","('Blocks', 'Sh')","('Blocks', 'Pass')","('Int', '')","('Tkl+Int', '')","('Clr', '')","('Err', '')","('Poss', '')","('Touches', 'Touches')","('Touches', 'Def Pen')","('Touches', 'Def 3rd')","('Touches', 'Mid 3rd')","('Touches', 'Att 3rd')","('Touches', 'Att Pen')","('Touches', 'Live')","('Take-Ons', 'Att')","('Take-Ons', 'Succ')","('Take-Ons', 'Succ%')","('Take-Ons', 'Tkld')","('Take-Ons', 'Tkld%')","('Carries', 'Carries')","('Carries', 'TotDist')","('Carries', 'PrgDist')","('Carries', 'PrgC')","('Carries', '1/3')","('Carries', 'CPA')","('Carries', 'Mis')","('Carries', 'Dis')","('Receiving', 'Rec')","('Receiving', 'PrgR')","('Performance', 'CrdY')","('Performance', 'CrdR')","('Performance', '2CrdY')","('Performance', 'Fls')","('Performance', 'Fld')","('Performance', 'Off')","('Performance', 'Crs')","('Performance', 'Int')","('Performance', 'TklW')","('Performance', 'PKwon')","('Performance', 'PKcon')","('Performance', 'OG')","('Performance', 'Recov')","('Aerial Duels', 'Won')","('Aerial Duels', 'Lost')","('Aerial Duels', 'Won%')"
,2425,Atlanta Utd,2024-05-11 Atlanta Utd-D.C. United,2024-05-11,19:30:00,L,2,3,D.C. United,1.3,2.3,63,4-2-3-1,6,3,3,50.0,0,2.9,-0.1,0,0,0,0,1,4,25.0,19,5,21.1,31.1,7,0.0,19.3,15,1,6.7,0,6.0,1,14,2,14.3,0.0,0.0,23.3,2,1,1,1.3,0.5,0.04,-0.3,-0.5,505,594,85.0,8589,2745,226,240,94.2,215,245,87.8,44,78,56.4,0,0.4,0.8,12,46,6,1,49,594,542,51,15,0,3,21,18,7,3,3,0,505,1,7,29,20,3,0,2,4,0,2,1,0,0,0,1,0,17,14,10,7,0,5,7,71.4,2,8,2,6,4,21,21,0,63,700,54,177,356,178,32,699,20,7,35.0,11,55.0,391,2286,1295,19,14,6,7,10,500,48,4,0,0,10,17,1,21,4,14,1,0,0,44,11,21,34.4
,2425,Atlanta Utd,2024-05-15 FC Cincinnati-Atlanta Utd,2024-05-15,19:30:00,L,0,1,FC Cincinnati,0.5,1.1,51,4-3-3,5,1,4,80.0,0,1.7,0.7,0,0,0,0,7,15,46.7,38,4,36.8,36.9,5,20.0,23.2,12,1,8.3,1,13.7,0,9,1,11.1,0.0,0.0,21.3,2,0,0,0.5,0.5,0.05,-0.5,-0.5,400,509,78.6,7583,2494,169,191,88.5,192,227,84.6,39,77,50.6,0,0.2,0.3,3,26,4,0,42,509,467,41,11,0,2,21,20,3,1,2,0,400,1,10,12,6,1,1,2,2,0,0,0,0,0,0,0,0,15,11,9,2,4,8,15,53.3,7,11,5,6,10,25,14,0,51,600,60,191,287,125,16,600,8,5,62.5,3,37.5,323,1457,726,12,6,3,10,8,394,42,2,0,0,10,10,1,21,10,11,0,0,0,43,11,14,44.0
,2425,Atlanta Utd,2024-05-18 Nashville-Atlanta Utd,2024-05-18,12:45:00,D,1,1,Nashville,0.7,1.4,51,4-2-3-1,5,1,4,100.0,0,1.2,0.2,1,1,0,0,8,16,50.0,36,8,36.1,35.3,6,50.0,40.7,19,3,15.8,0,7.2,1,10,1,10.0,0.1,1.0,21.6,1,0,0,0.7,0.7,0.07,0.3,0.3,380,470,80.9,7330,2635,169,190,88.9,164,195,84.1,46,81,56.8,1,0.7,0.9,9,38,13,6,30,470,435,35,11,0,2,19,15,1,0,1,0,380,0,6,19,15,0,3,1,0,0,2,2,0,0,0,0,0,4,3,2,1,1,4,10,40.0,6,10,3,7,13,17,31,0,51,578,71,194,230,162,26,578,17,11,64.7,6,35.3,322,1851,919,17,10,7,19,7,372,30,2,0,0,14,8,0,19,13,3,0,1,0,39,25,17,59.5
,2425,Atlanta Utd,2024-05-25 Atlanta Utd-LAFC,2024-05-25,19:30:00,L,0,1,LAFC,1.3,0.9,63,4-4-2,4,1,3,0.0,0,0.2,-0.9,0,0,0,0,2,10,20.0,32,7,21.9,26.4,5,60.0,41.6,15,2,13.3,2,15.8,0,17,5,29.4,0.0,0.0,17.0,2,0,0,1.3,1.3,0.08,-1.3,-1.3,446,531,84.0,8086,2435,180,194,92.8,207,231,89.6,46,73,63.0,0,0.9,1.1,10,33,9,0,49,531,496,35,6,0,2,26,17,5,1,4,0,446,0,13,28,20,2,0,1,4,1,0,0,0,0,0,0,0,16,14,8,6,2,9,15,60.0,6,11,6,5,4,20,29,0,63,626,74,185,270,176,28,626,12,9,75.0,2,16.7,420,2436,1268,19,17,3,7,14,442,48,2,1,0,12,8,0,26,4,14,0,0,0,37,9,10,47.4
,2425,Atlanta Utd,2024-05-29 Inter Miami-Atlanta Utd,2024-05-29,19:30:00,W,3,1,Inter Miami,3.5,0.7,39,3-4-3,5,1,4,80.0,0,0.8,-0.2,0,0,0,0,3,9,33.3,25,8,32.0,31.6,5,20.0,22.0,14,1,7.1,0,10.0,3,25,8,32.0,0.12,0.38,14.8,0,0,0,3.5,3.5,0.15,-0.5,-0.5,368,427,86.2,5673,2210,201,214,93.9,116,127,91.3,30,52,57.7,3,3.3,1.6,21,32,5,1,28,427,396,31,13,0,2,10,6,5,1,3,0,368,0,9,47,33,4,3,5,0,2,6,6,0,0,0,0,0,18,15,11,5,2,11,19,57.9,8,13,6,7,8,26,34,0,39,569,82,198,247,131,40,569,23,14,60.9,8,34.8,279,2012,1249,34,19,12,13,8,363,26,0,0,0,7,11,0,10,8,15,0,0,0,45,10,9,52.6
,2425,Atlanta Utd,2024-06-02 Atlanta Utd-Charlotte,2024-06-02,16:45:00,L,2,3,Charlotte,2.1,1.0,60,3-4-3,4,3,2,25.0,0,0.6,-1.4,0,0,0,0,12,15,80.0,43,4,34.9,30.1,3,0.0,21.0,11,0,0.0,0,11.0,2,18,4,22.2,0.11,0.5,15.6,0,0,0,2.1,2.1,0.12,-0.1,-0.1,530,611,86.7,10133,3383,208,220,94.5,251,271,92.6,60,93,64.5,1,1.3,1.5,14,47,11,2,56,611,572,38,11,0,8,21,16,4,2,2,0,530,1,12,34,32,1,1,0,0,0,4,4,0,0,0,0,0,16,12,7,8,1,8,13,61.5,5,6,3,3,11,27,13,0,60,705,71,239,301,170,38,705,9,4,44.4,4,44.4,464,2311,1127,24,14,8,17,4,528,56,3,0,0,12,9,1,21,11,12,0,0,1,46,8,13,38.1
,2425,Atlanta Utd,2024-06-15 Atlanta Utd-Dynamo FC,2024-06-15,19:30:00,,,,Dynamo FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2425,Atlanta Utd,2024-06-19 D.C. United-Atlanta Utd,2024-06-19,19:30:00,,,,D.C. United,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2425,Atlanta Utd,2024-06-22 St. Louis-Atlanta Utd,2024-06-22,19:30:00,,,,St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2425,Atlanta Utd,2024-06-29 Atlanta Utd-Toronto FC,2024-06-29,19:30:00,,,,Toronto FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
